dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,5,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,9,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,4,text,null,UNIQUE
postgresql,postgres,null,null,null,1,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,4,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,10,timestamp with time zone,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,character varying,255,UNIQUE
postgresql,postgres,null,null,null,3,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,22,text,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,null,null,null,10,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,9,timestamp without time zone,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,integer,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,5,text,null,UNIQUE
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sessions,id,1,uuid,null,FOREIGN KEY
postgresql,postgres,auth,mfa_factors,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sessions,id,9,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,flow_state,id,9,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,profiles,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,2,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,1,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,4,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,5,text,null,FOREIGN KEY
postgresql,postgres,storage,s3_multipart_uploads,id,2,text,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,text,null,UNIQUE
postgresql,postgres,null,null,null,13,text,null,UNIQUE
postgresql,postgres,auth,oauth_clients,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,4,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,uuid,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,oauth_clients,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,auth,oauth_clients,id,12,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,USER-DEFINED,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,public,workouts,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,exercises,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,workouts,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,public,exercises,id,4,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,9,timestamp with time zone,null,null
postgresql,postgres,null,null,null,11,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,3,date,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,4,USER-DEFINED,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,1,integer,null,null
postgresql,postgres,null,null,null,7,integer,null,null
postgresql,postgres,null,null,null,2,text,null,null
postgresql,postgres,null,null,null,11,character varying,255,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,10,text,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,USER-DEFINED,null,null
postgresql,postgres,null,null,null,10,timestamp with time zone,null,null
postgresql,postgres,null,null,null,35,boolean,null,null
postgresql,postgres,null,null,null,8,timestamp without time zone,null,null
postgresql,postgres,null,null,null,11,USER-DEFINED,null,null
postgresql,postgres,null,null,null,2,text,null,null
postgresql,postgres,null,null,null,7,jsonb,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,boolean,null,null
postgresql,postgres,null,null,null,3,character varying,40,null
postgresql,postgres,null,null,null,10,USER-DEFINED,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,34,timestamp with time zone,null,null
postgresql,postgres,null,null,null,17,jsonb,null,null
postgresql,postgres,null,null,null,10,inet,null,null
postgresql,postgres,null,null,null,12,jsonb,null,null
postgresql,postgres,null,null,null,4,regclass,null,null
postgresql,postgres,null,null,null,9,ARRAY,null,null
postgresql,postgres,null,null,null,4,integer,null,null
postgresql,postgres,null,null,null,11,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,bigint,null,null
postgresql,postgres,null,null,null,23,timestamp with time zone,null,null
postgresql,postgres,null,null,null,2,uuid,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,8,timestamp without time zone,null,null
postgresql,postgres,null,null,null,5,integer,null,null
postgresql,postgres,null,null,null,25,character varying,255,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,5,inet,null,null
postgresql,postgres,null,null,null,3,uuid,null,null
postgresql,postgres,null,null,null,16,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,integer,null,null
postgresql,postgres,null,null,null,7,boolean,null,null
postgresql,postgres,null,null,null,5,character varying,255,null
postgresql,postgres,null,null,null,1,uuid,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,12,timestamp with time zone,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,14,character varying,255,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,6,timestamp without time zone,null,null
postgresql,postgres,null,null,null,2,text,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,1,uuid,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,12,timestamp with time zone,null,null
postgresql,postgres,null,null,null,10,timestamp with time zone,null,null
postgresql,postgres,null,null,null,13,character varying,255,null
postgresql,postgres,null,null,null,6,integer,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,6,integer,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,4,USER-DEFINED,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,6,USER-DEFINED,null,null
postgresql,postgres,null,null,null,29,smallint,null,null
postgresql,postgres,null,null,null,18,jsonb,null,null
postgresql,postgres,null,null,null,3,timestamp with time zone,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,5,integer,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,13,USER-DEFINED,null,null
postgresql,postgres,null,null,null,4,integer,null,null
postgresql,postgres,null,null,null,10,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,10,text,null,null
postgresql,postgres,null,null,null,8,jsonb,null,null
postgresql,postgres,null,null,null,33,boolean,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,27,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,USER-DEFINED,null,null
postgresql,postgres,null,null,null,10,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,jsonb,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,8,character varying,255,null
postgresql,postgres,null,null,null,11,jsonb,null,null
postgresql,postgres,null,null,null,7,timestamp without time zone,null,null
postgresql,postgres,null,null,null,6,boolean,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,28,character varying,255,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,11,USER-DEFINED,null,null
postgresql,postgres,null,null,null,8,bigint,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,4,character varying,255,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp without time zone,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,2,uuid,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,uuid,null,null
postgresql,postgres,null,null,null,9,ARRAY,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,6,integer,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,4,integer,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,7,jsonb,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,12,USER-DEFINED,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,integer,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,9,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,2,USER-DEFINED,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,20,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,8,jsonb,null,null
postgresql,postgres,null,null,null,2,uuid,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,3,json,null,null
postgresql,postgres,null,null,null,9,text,null,null
postgresql,postgres,null,null,null,5,USER-DEFINED,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,2,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,10,boolean,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,31,character varying,255,null
postgresql,postgres,null,null,null,1,character varying,255,null
postgresql,postgres,null,null,null,11,text,null,null
postgresql,postgres,null,null,null,2,timestamp without time zone,null,null
postgresql,postgres,null,null,null,3,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,jsonb,null,null
postgresql,postgres,null,null,null,15,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,integer,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,11,text,null,null
postgresql,postgres,null,null,null,6,bytea,null,null
postgresql,postgres,null,null,null,3,character varying,255,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,14,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,16,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,text,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,12,timestamp with time zone,null,null
postgresql,postgres,null,null,null,26,timestamp with time zone,null,null
postgresql,postgres,null,null,null,4,character varying,255,null
postgresql,postgres,null,null,null,5,uuid,null,null
postgresql,postgres,null,null,null,7,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,uuid,null,null
postgresql,postgres,null,null,null,6,text,null,null
postgresql,postgres,null,null,null,7,boolean,null,null
postgresql,postgres,null,null,null,5,numeric,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,2,text,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,24,text,null,null
postgresql,postgres,null,null,null,9,character varying,255,null
postgresql,postgres,null,null,null,11,text,null,null
postgresql,postgres,null,null,null,3,timestamp with time zone,null,null
postgresql,postgres,null,null,null,21,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,32,timestamp with time zone,null,null
postgresql,postgres,null,null,null,5,timestamp with time zone,null,null
postgresql,postgres,null,null,null,6,character varying,255,null
postgresql,postgres,null,null,null,5,boolean,null,null
postgresql,postgres,null,null,null,8,regrole,null,null
postgresql,postgres,null,null,null,3,USER-DEFINED,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,12,uuid,null,null
postgresql,postgres,null,null,null,4,timestamp with time zone,null,null
postgresql,postgres,null,null,null,2,ARRAY,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,9,timestamp with time zone,null,null
postgresql,postgres,null,null,null,12,timestamp with time zone,null,null
postgresql,postgres,null,null,null,15,timestamp with time zone,null,null
postgresql,postgres,null,null,null,8,timestamp with time zone,null,null
postgresql,postgres,null,null,null,1,uuid,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,30,timestamp with time zone,null,null
postgresql,postgres,null,null,null,2,bigint,null,null
postgresql,postgres,null,null,null,4,USER-DEFINED,null,null
postgresql,postgres,null,null,null,5,character varying,64,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,9,jsonb,null,null
postgresql,postgres,null,null,null,4,text,null,null
postgresql,postgres,null,null,null,9,timestamp with time zone,null,null
postgresql,postgres,null,null,null,7,text,null,null
postgresql,postgres,null,null,null,13,integer,null,null
postgresql,postgres,null,null,null,6,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,timestamp with time zone,null,null
postgresql,postgres,null,null,null,3,text,null,null
postgresql,postgres,null,null,null,6,integer,null,null
postgresql,postgres,null,null,null,2,character varying,100,null
postgresql,postgres,null,null,null,9,timestamp without time zone,null,null
postgresql,postgres,null,null,null,5,jsonb,null,null
postgresql,postgres,null,null,null,5,ARRAY,null,null
postgresql,postgres,null,null,null,19,boolean,null,null
postgresql,postgres,null,null,null,8,text,null,null
postgresql,postgres,null,null,null,5,text,null,null